792081506017669120 : #FlashbackFriday A caddy way to refer to my uncle's PTSD from Nam '	$ , # D N N P V P D S ^ P ^ ,	0.6172 0.8627 0.6794 0.9657 0.9556 0.9249 0.9984 0.9987 0.9962 0.9983 0.7029 0.6736 0.9992 0.9208 0.8957	792081506017669120: #FlashbackFriday A caddy way to refer to my uncle's PTSD from Nam'
792074648536088577 : I have ptsd ?	$ , O V N ,	0.4230 0.9293 0.9969 0.9989 0.6782 0.9961	792074648536088577: I have ptsd?
792074404888924160 : @CasDistilled Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.6202 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792074404888924160: @CasDistilled Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792074251171790848 : these @NPDotA games are triggering my PTSD from C9 days and i kinda love it	$ , D @ N V V D N P ^ N & O R V O	0.4016 0.9586 0.8243 0.9907 0.9787 0.9905 0.9994 0.9952 0.6680 0.9994 0.9849 0.8089 0.9986 0.9863 0.8180 0.9829 0.9946	792074251171790848: these @NPDotA games are triggering my PTSD from C9 days and i kinda love it
792073906504994816 : @rylie26 @JacuhbOlivuh I have a 18 year old God daughter that thinks she can't live without her phone or Facebook . < Shaking head >	$ , @ @ O V D $ N A ^ N P V O V V P D N & ^ , ~ V N E	0.4319 0.8960 0.9984 0.9990 0.9985 0.9999 0.9955 0.9992 0.8514 0.9739 0.9790 0.9868 0.8437 0.9972 0.9984 0.9997 0.9767 0.9968 0.8960 0.9998 0.9912 0.9784 0.9971 0.9428 0.9876 0.9899 0.6036	792073906504994816: @rylie26 @JacuhbOlivuh I have a 18 year old God daughter that thinks she can't live without her phone or Facebook. &lt;Shaking head&gt;
792073136640499713 : @whskr @malicvet31 I have PTSD . My girls are my angels . One year old Autumn is relentless in getting me up in mornings . Both cuddle with me .	$ , @ @ O V ^ , D N V D N , $ N A N V A P V O T P N , D N P O ,	0.4184 0.8960 0.9977 0.9989 0.9985 0.9994 0.6501 0.9971 0.9974 0.9969 0.9939 0.9892 0.9953 0.9968 0.9462 0.8385 0.9923 0.8415 0.9945 0.9074 0.9877 0.9981 0.9988 0.9416 0.9784 0.9970 0.9983 0.3071 0.7006 0.9994 0.9984 0.9983	792073136640499713: @whskr @malicvet31 I have PTSD. My girls are my angels. One year old Autumn is relentless in getting me up in mornings. Both cuddle with me.
792072997259665408 : @Donnagla56 You are kind to say so ; I had a terribad ex-husband . the PTSD came after the divorce , loss of 2 houses , almost dieing , homeless	$ , @ O V A P V R , O V D A N , D ^ V P D N , N P $ N , R V , A	0.3965 0.8960 0.9967 0.9965 0.9985 0.5263 0.9972 0.9969 0.8990 0.9599 0.9985 1.0000 0.9927 0.9173 0.9979 0.9958 0.9977 0.8233 0.8975 0.9845 0.9956 0.9956 0.9970 0.9955 0.9973 0.9410 0.9853 0.9988 0.9942 0.9903 0.9979 0.9220	792072997259665408: @Donnagla56 You are kind to say so; I had a terribad ex-husband. the PTSD came after the divorce, loss of 2 houses, almost dieing, homeless
792072708972437504 : There is a donut truck at my work and it is giving me PTSD about how I lost my last house	$ , X V D N N P D N & O V V O ^ P R O V D A N	0.4293 0.9411 0.8960 0.9982 0.9976 0.9746 0.9933 0.9998 0.9975 0.9954 0.9990 0.9991 0.9995 0.9985 0.9843 0.6743 0.9712 0.9742 0.9995 0.9975 0.9972 0.9931 0.9965	792072708972437504: There is a donut truck at my work and it is giving me PTSD about how I lost my last house
792072704002289665 : I'm pretty sure I have PTSD from " emails . "	$ , L R A O V ^ P , N , ,	0.4384 0.9690 0.9970 0.9785 0.9399 0.9977 0.9994 0.6388 0.9956 0.9895 0.9323 0.9978 0.9750	792072704002289665: I'm pretty sure I have PTSD from "emails."
792072255631073280 : @nicoleamelioc Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.6172 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792072255631073280: @nicoleamelioc Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792072135283838976 : @RSLQueensland Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.4319 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792072135283838976: @RSLQueensland Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792071987065520129 : @PTSDchat_org Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.4421 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792071987065520129: @PTSDchat_org Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792071557917081600 : Lukas : literally haunted by the murders , relives these moments several times throughout the episodes	$ , ^ , R V P D N , V D N A N P D N	0.6387 0.9090 0.9995 0.9737 0.9950 0.7715 0.9994 0.9976 0.9919 0.9984 0.9990 0.9889 0.9834 0.8296 0.9962 0.9998 0.9995 0.9975	792071557917081600: Lukas: literally haunted by the murders,relives these moments several times throughout the episodes 
Ya'll: lol I didn't realize he had PTSD	O ! O V V O V ^	0.6189 0.9957 0.9986 1.0000 0.9997 0.9986 0.9993 0.8409	Ya'll: lol I didn't realize he had PTSD
792071367273291776 : @vickscan @marcylauren no he just has #PTSD when he doesn't have a desk 2 hide under and cower like he did in Iraq I	$ , @ @ ! O R V # R O V V D N P V P & V P O V P ^ O	0.4319 0.8960 0.9981 0.9985 0.8221 0.9888 0.9998 0.9976 0.4673 0.9731 0.9915 0.9995 0.9999 0.9982 0.9936 0.9361 0.9876 0.8359 0.9978 0.9863 0.9752 0.9997 0.9997 0.9809 0.9547 0.9868	792071367273291776: @vickscan @marcylauren no he just has #PTSD when he doesn't have a desk 2 hide under and cower like he did in Iraq I
792071273635381248 : @AirlieWalsh Prolonged exposure to trauma isn't good for anyone , sent me into PTSD world . Be safe , strong and look … https://t.co/ipsNNKw81a	$ , @ A N P N V A P N , V O P ^ N , V A , A & V , U	0.4016 0.8960 0.9980 0.9608 0.9972 0.9983 0.9101 0.9975 0.9902 0.9971 0.9752 0.9973 0.9993 0.9987 0.9912 0.9190 0.9245 0.9985 0.9892 0.9242 0.9978 0.9774 0.9972 0.9415 0.7434 0.9939	792071273635381248: @AirlieWalsh Prolonged exposure to trauma isn't good for anyone, sent me into PTSD world. Be safe, strong and look… https://t.co/ipsNNKw81a
792071019380957184 : . @JasonKirkSBN as an ole miss fan this tweet just triggered my PTSD	$ , , @ P D A N N D N R V D N	0.4293 0.9457 0.9828 0.9940 0.9471 0.9937 0.5228 0.8427 0.8665 0.8158 0.8899 0.9995 0.9989 0.9955 0.6773	792071019380957184: .@JasonKirkSBN as an ole miss fan this tweet just triggered my PTSD
792070359575060480 : my emotions are a whirlwind and I feel alternately dissociative and intensely emotionally overloaded #bpd #ptsd	$ , D N V D A & O V R A & R R A # #	0.6172 0.9336 0.9985 0.9988 0.9724 0.9947 0.9839 0.9986 0.9985 0.9992 0.9970 0.8357 0.9977 0.9981 0.9994 0.5406 0.4675 0.9854	792070359575060480: my emotions are a whirlwind and I feel alternately dissociative and intensely emotionally overloaded #bpd #ptsd
792070306307379204 : @Donnagla56 That IS good ; mine just appeared , althought I had latent signs for years , and my mom had it . I have ptsd , and a psychotic break	$ , @ O V A , O R V , R O V A N P N , & D N V O , O V N , & D A N	0.4293 0.8960 0.9970 0.9422 0.9986 0.9960 0.9853 0.9558 0.9999 0.9748 0.9982 0.3796 0.9992 0.9997 0.9837 0.9965 0.9992 0.9713 0.9987 0.9992 0.9945 0.9943 0.9998 0.9887 0.9987 0.9980 0.9994 0.7307 0.9988 0.9997 0.9933 0.9676 0.8837	792070306307379204: @Donnagla56 That IS good; mine just appeared, althought I had latent signs for years, and my mom had it. I have ptsd, and a psychotic break
792070208470917121 : i never thought i would have ptsd at such a young age	$ , O R V O V V N P A D A N	0.4893 0.8986 0.9659 0.9930 0.9911 0.9943 0.9998 0.9997 0.8913 0.9982 0.5160 0.9923 0.9951 0.9942	792070208470917121: i never thought i would have ptsd at such a young age
792070021111386112 : please don't prescribe Hillary " my meds " @Pillary #PTSD ^COMPLAINTS * Reparation	$ , V V V ^ , D N , @ # N , N	0.4545 0.9304 0.9714 0.9999 0.9993 0.9873 0.9918 0.9961 0.9895 0.9961 0.9973 0.7441 0.9398 0.9946 0.6094	792070021111386112: please don't prescribe Hillary "my meds" @Pillary #PTSD ^COMPLAINTS *Reparation
792069850713714688 : I am a twin mom with PCOS , PPD , PPA , and PTSD who has lost 71 lbs . ( so far ! ) since December and I'll be doing an AMA on …	$ , O V D N N P ^ , ^ , ^ , & ^ O V A $ N , , R R , , P ^ & L V V D ^ P ,	0.4016 0.9293 0.9958 0.9993 0.9984 0.8775 0.9783 0.9995 0.5933 0.9954 0.8400 0.9839 0.9238 0.9974 0.9991 0.8310 0.9866 0.9995 0.5816 0.9950 0.9900 0.9949 0.9131 0.9305 0.9460 0.9941 0.9745 0.9820 0.9926 0.9985 0.9928 0.9994 0.9988 0.9849 0.4807 0.9431 0.8768	792069850713714688: I am a twin mom with PCOS, PPD, PPA, and PTSD who has lost 71 lbs. (so far!) since December and I'll be doing an AMA on …
792069608618549249 : The world does not owe me a living just because I have #GAD #PTSD . I have never claimed benefit . If I'm skint I scrub bogs . Simple	$ , D N V R V O D N R P O V ^ ^ , O V R V N , P L A O V N , A	0.4421 0.9249 0.9872 0.9821 0.9965 0.9890 0.9993 0.9959 0.9432 0.5640 0.9992 0.9963 0.9996 0.9994 0.5347 0.8705 0.9966 0.9980 0.9997 0.9858 0.9816 0.7861 0.9987 0.9881 0.9972 0.6031 0.9956 0.9981 0.4936 0.9988 0.8865	792069608618549249: The world does not owe me a living just because I have #GAD #PTSD. I have never claimed benefit. If I'm skint I scrub bogs. Simple
792069424232538112 : * sighs * so that’s where the dreams come from , as far as I can tell #trauma . And now y’all know the story of my ptsd .	$ , , V , P L R D N V P , R R P O V V N , & R O V D N P D N ,	0.4545 0.8925 0.9130 0.9682 0.9924 0.4979 0.9969 0.9661 0.9991 0.9952 0.9849 0.9650 0.9935 0.8578 0.8120 0.9626 0.9994 0.9999 0.9961 0.8907 0.9980 0.9991 0.9943 0.9922 0.9993 0.9988 0.9997 0.9990 0.9958 0.9226 0.9985	792069424232538112: *sighs* so that’s where the dreams come from, as far as I can tell #trauma.  And now y’all know the story of my ptsd.
792069042144022528 : @Isrl4Evr Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.4016 0.8960 0.9969 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792069042144022528: @Isrl4Evr Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792066409501163524 : Our veterans fought for us overseas . We must fight for them at home by improving VA health care and increasing PTSD funding . #MI01	$ , D N V P O A , O V V P O P N P V ^ N N & V ^ N , #	0.4293 0.9433 0.9858 0.9134 0.9326 0.9989 0.8660 0.8546 0.9979 0.9970 0.9972 0.9606 0.9990 0.9855 0.9956 0.9639 0.9981 0.9924 0.8865 0.9761 0.8316 0.9974 0.9956 0.7883 0.9220 0.9968 0.9418	792066409501163524: Our veterans fought for us overseas. We must fight for them at home by improving VA health care and increasing PTSD funding. #MI01
792065847845986305 : @leahlialeigha Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.4384 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792065847845986305: @leahlialeigha Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792065576688463873 : I have PTSD from my car accident	$ , O V ^ P D N N	0.4184 0.9293 0.9969 0.9993 0.6388 0.9996 0.9979 0.9960 0.9851	792065576688463873: I have PTSD from my car accident
792065312807981056 : @Styxhexenhammer if you would like to talk sometime via some internet tool I have ptsd and usually just chill . I'll be watching some videos	$ , @ P O V V P V R P D N N O V N & R R V , L V V D N	0.4319 0.8960 0.9967 0.9982 0.9997 0.9998 0.9852 0.9860 0.9913 0.9750 0.9969 0.9782 0.9361 0.9995 0.9894 0.9994 0.6140 0.9970 0.9983 0.9991 0.8146 0.9976 0.9923 0.9994 0.9985 0.9958 0.9965	792065312807981056: @Styxhexenhammer if you would like to talk sometime via some internet tool I have ptsd and usually just chill.  I'll be watching some videos
792065208089010176 : Rejection only bothers me in a PTSD Ep . When I'm fine , reject me left & right . But in a cycle , it lands on me like a mofo .	$ , N R V O P D ^ N , R L A , V O V & R , & P D N , O V P O P D N ,	0.4319 0.9372 0.9950 0.8937 0.9999 0.9986 0.8682 0.9944 0.6750 0.5309 0.9993 0.9842 0.9916 0.9864 0.9968 0.9991 0.9991 0.7321 0.9908 0.5678 0.9989 0.9896 0.9789 0.9962 0.9962 0.9969 0.9913 0.8816 0.9512 0.9991 0.8529 0.9944 0.9931 0.9987	792065208089010176: Rejection only bothers me in a PTSD Ep. When I'm fine, reject me left &amp; right. But in a cycle, it lands on me like a mofo.
792065018661474304 : WE GAVE THE CHILDREN PTSD #BucketSquad	$ , O V D N ^ #	0.4293 0.9367 0.9332 0.9996 0.9971 0.7942 0.4839 0.7723	792065018661474304: WE GAVE THE CHILDREN PTSD #BucketSquad
792064451621036032 : @SSAFA ... as I've recently sadly discovered , PTSD can come on some long time later - and wrap all sorts of stuff up in itself . Truly scary !	$ , @ , P L R R V , ^ V V P D A N R , & V D N P N P P O , R A ,	0.4545 0.8960 0.9970 0.9217 0.8490 0.9770 0.9992 0.9983 0.9493 0.9970 0.9266 0.9745 0.9997 0.9481 0.9785 0.9991 0.9994 0.9124 0.9657 0.9995 0.9550 0.9898 0.9883 0.9964 0.9728 0.5729 0.9862 0.9879 0.9989 0.9971 0.9996 0.9987	792064451621036032: @SSAFA ... as I've recently sadly discovered, PTSD can come on some long time later - and wrap all sorts of stuff up in itself. Truly scary!
792064390279331844 : #TMS may help treat #OCD , #Bipolar , #PTSD , #Migraines and more . We are proud to offer this therapy . Call us to learn more !	$ , ^ V V N ^ , # , ^ , ^ & A , O V A P V D N , V O P V A ,	0.4293 0.8627 0.5571 0.6608 0.9931 0.6739 0.5913 0.9946 0.6575 0.9915 0.4474 0.9937 0.6391 0.9968 0.4973 0.9983 0.9960 0.9988 0.9982 0.9982 0.9532 0.9503 0.9985 0.9974 0.9872 0.9767 0.9953 0.9994 0.5460 0.9987	792064390279331844: #TMS may help treat #OCD, #Bipolar, #PTSD, #Migraines and more. We are proud to offer this therapy. Call us to learn more!
792063769434263552 : @cat_next_door my pleasure . I understand . I have #GAD #depression + have had #PTSD some days are a huge struggle . I salvaged today .. just	$ , @ D N , O V , O V ^ # & V V # D N V D A N , O V N , R	0.4545 0.8960 0.9969 0.9959 0.9966 0.9983 0.9980 0.9975 0.9980 0.9980 0.9994 0.5230 0.6893 0.8001 0.9903 0.9708 0.4260 0.9778 0.9943 0.9871 0.9949 0.9885 0.9977 0.9985 0.9982 0.9985 0.9727 0.9947 0.9983	792063769434263552: @cat_next_door my pleasure. I understand. I have #GAD #depression + have had #PTSD some days are a huge struggle. I salvaged today.. just
792063506912800768 : @chickacquired @swearyG @NothingSirius @KompaNanzi @CharliePoet I had to look it up . It was a bridge in Southwestern PA .	$ , @ @ @ @ @ O V P V O T , O V D N P ^ ^ ,	0.4016 0.8960 0.9981 0.9987 0.9984 0.9982 0.9989 0.9985 0.9999 0.9875 0.9997 0.9973 0.9709 0.9986 0.9963 0.9996 0.9994 0.9950 0.9972 0.9081 0.9932 0.9959	792063506912800768: @chickacquired @swearyG @NothingSirius @KompaNanzi @CharliePoet I had to look it up. It was a bridge in Southwestern PA.
792063398943027204 : Going into hot topic gave me ptsd	$ , V P A N V O N	0.4293 0.9647 0.9991 0.9844 0.9744 0.9964 0.9988 0.9924 0.3417	792063398943027204: Going into hot topic gave me ptsd
792062206594560000 : @LJMeindl Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.6387 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792062206594560000: @LJMeindl Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792062092853608448 : @NeedleRockFarms Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.4016 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792062092853608448: @NeedleRockFarms Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792061980123115520 : @inusanewscom Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.6172 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792061980123115520: @inusanewscom Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792061849831219200 : I am sorry if anything I said sounded like PTSD took over or if the video I made upset you .	$ , O V A P N O V V P ^ V P & P D N O V V O ,	0.6387 0.9293 0.9958 0.9929 0.9892 0.9968 0.9919 0.9967 0.9994 0.9927 0.8922 0.8834 0.9912 0.4656 0.9849 0.9979 0.9934 0.9997 0.9968 0.9996 0.7810 0.9974 0.9991	792061849831219200: I am sorry if anything I said sounded like PTSD took over or if the video I made upset you.
792061807489789952 : @ptsd_artist I'm not surprised ! Have never seen that @swearyG @NothingSirius @KompaNanzi @CharliePoet	$ , @ L R V , V R V O @ @ @ @	0.4545 0.8960 0.9978 0.9979 0.9994 0.6179 0.9954 0.9971 0.9793 0.9987 0.5117 0.9987 0.9984 0.9985 0.9983	792061807489789952: @ptsd_artist I'm not surprised! Have never seen that @swearyG @NothingSirius @KompaNanzi @CharliePoet
792059959106232320 : @playcritically I think I might still have a touch of PTSD from my raid guild ....	$ , @ O V O V R V D N P ^ P D N N ,	0.6172 0.8960 0.9984 0.9982 0.9998 0.9989 0.9993 0.9935 0.9991 0.9961 0.9982 0.9954 0.9246 0.9996 0.9976 0.9884 0.8263 0.9937	792059959106232320: @playcritically I think I might still have a touch of PTSD from my raid guild....
792058595835863040 : @ShaunKing @NYDailyNews I wonder though what effect shit like this has on people who have PTSD due to not killin when they're not supposed 2	$ , @ @ O V P O V N P O V P N O V ^ A P R V R L R A P	0.6172 0.8960 0.9981 0.9990 0.9979 0.9949 0.9332 0.9510 0.6436 0.9608 0.9556 0.9585 0.9961 0.9208 0.9966 0.9850 0.9991 0.7563 0.5628 0.9946 0.9782 0.9919 0.9601 0.9633 0.9989 0.9265 0.6206	792058595835863040: @ShaunKing @NYDailyNews I wonder though what effect shit like this has on people who have PTSD due to not killin when they're not supposed 2
792058543323119616 : The new @CalvinHarris music video gave me serious PTSD flashbacks to buffering videos and shitty wifi #somuchanxiety #myway	$ , D A @ N N V O A ^ N P V N & A N # #	0.4319 0.9249 0.9967 0.9895 0.9836 0.9825 0.9973 0.9995 0.9896 0.9981 0.5913 0.9690 0.9976 0.9971 0.9897 0.9969 0.9575 0.9829 0.4345 0.8887	792058543323119616: The new @CalvinHarris music video gave me serious PTSD flashbacks to buffering videos and shitty wifi #somuchanxiety #myway
792058428302630912 : @Twitch Just to much going on . I'm over stimulated . My anxiety and ptsd just can't handle it . I still stop by streamers I enjoy and love	$ , @ R P A V T , L P V , D N & N R V V O , O R V P N O V & N	0.4545 0.8960 0.9966 0.9996 0.6343 0.4738 0.9755 0.6250 0.9981 0.9976 0.7997 0.9425 0.9972 0.9957 0.9960 0.9978 0.6458 0.9995 0.9996 1.0000 0.9887 0.9987 0.9958 0.9924 0.9927 0.9756 0.7793 0.9919 0.9967 0.9967 0.4977	792058428302630912: @Twitch  Just to much going on. I'm over stimulated. My anxiety and ptsd just can't handle it. I still stop by streamers I enjoy and love
792057840966008832 : I Guess PTSD Hella Real	$ , O V ^ ^ A	0.4545 0.9293 0.9969 0.9996 0.9249 0.9312 0.7861	792057840966008832: I Guess PTSD Hella Real
